country	estimate
Bolivia	38.7564487179487
Haiti	39.2461538461539
Guatemala	42.1193974358974
Honduras	42.9924102564102
Nicaragua	43.0451282051282
Peru	44.3476410256411
El Salvador	46.5119487179487
Dominican Republic	48.5978076923077
Ecuador	49.0653717948718
Brazil	51.5120384615385
Mexico	53.0053717948718
Colombia	53.4271153846154
Chile	54.3177051282052
Venezuela	57.5133205128205
Panama	58.061
Costa Rica	59.1047051282051
Trinidad and Tobago	62.0523076923077
Cuba	62.2134487179487
Paraguay	62.4818333333334
Jamaica	62.6609871794872
Argentina	62.6884358974359
Uruguay	65.7416025641026
Puerto Rico	66.9485256410257
United States	68.4138461538462
Canada	68.8838461538462
